codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,outras,
51441,51441,51441,51441,INCIDENTE GRAVE,PATROCÍNIO,MG,SNPJ,17/04/2014,20:30:00,SIM,FINALIZADA,IG-078/CENIPA/2014,SIM,2014-10-01,,
51084,51084,51084,51084,INCIDENTE,GUARULHOS,SP,SBGR,19/04/2014,14:41:00,***,FINALIZADA,***,NÃO,NULL,,
51343,51343,51343,51343,INCIDENTE,SÃO PAULO,SP,SBMT,19/04/2014,13:25:00,***,FINALIZADA,***,NÃO,NULL,,
51032,51032,51032,51032,INCIDENTE GRAVE,CAICÓ,RN,SNKK,20/04/2014,13:00:00,SIM,FINALIZADA,IG-079/CENIPA/2014,SIM,2015-07-21,,
51004,51004,51004,51004,ACIDENTE,SÃO DESIDÉRIO,BA,****,22/04/2014,19:45:00,SIM,FINALIZADA,A-080/CENIPA/2014,SIM,2015-04-24,,
51005,51005,51005,51005,ACIDENTE,DOM PEDRITO,RS,****,22/04/2014,13:00:00,SIM,FINALIZADA,A-081/CENIPA/2014,SIM,2015-03-05,,
51344,51344,51344,51344,INCIDENTE,CONFINS,MG,SBCF,22/04/2014,12:30:00,***,FINALIZADA,***,NÃO,NULL,,
51006,51006,51006,51006,ACIDENTE,TAQUARUSSU,MS,****,23/04/2014,12:30:00,***,FINALIZADA,A-082/CENIPA/2014,NÃO,NULL,,
51007,51007,51007,51007,ACIDENTE,SOROCABA,SP,SDCO,24/04/2014,18:55:00,SIM,FINALIZADA,A-083/CENIPA/2014,SIM,2015-04-30,,
51008,51008,51008,51008,ACIDENTE,AMERICANA,SP,SDAI,24/04/2014,17:00:00,SIM,FINALIZADA,A-084/CENIPA/2014,SIM,2021-08-19,,
51456,51456,51456,51456,INCIDENTE,FOZ DO IGUAÇU,PR,SBFI,24/04/2014,05:20:00,***,FINALIZADA,***,NÃO,NULL,,
51086,51086,51086,51086,INCIDENTE,FORTALEZA,CE,SBFZ,26/04/2014,08:23:00,***,FINALIZADA,***,NÃO,NULL,,
51442,51442,51442,51442,INCIDENTE GRAVE,OROCÓ,PE,****,26/04/2014,19:00:00,SIM,FINALIZADA,IG-085/CENIPA/2014,SIM,2018-04-05,,
51457,51457,51457,51457,INCIDENTE,CAMPINAS,SP,SBKP,26/04/2014,21:44:00,***,FINALIZADA,***,NÃO,NULL,,
51393,51393,51393,51393,ACIDENTE,PEDRA PRETA,MT,****,27/04/2014,20:00:00,SIM,FINALIZADA,A-086/CENIPA/2014,SIM,2015-05-15,,
80059,80059,80059,80059,INCIDENTE,IVINHEMA,MS,*****,27/04/2014,11:30:00,SIM,FINALIZADA,***,NÃO,NULL,,
51345,51345,51345,51345,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,29/04/2014,11:20:00,***,FINALIZADA,***,NÃO,NULL,,
51346,51346,51346,51346,INCIDENTE,SOROCABA,SP,SDCO,29/04/2014,18:50:00,***,FINALIZADA,***,NÃO,NULL,,
51009,51009,51009,51009,ACIDENTE,ITAITUBA,PA,****,30/04/2014,22:15:00,SIM,FINALIZADA,A-087/CENIPA/2014,SIM,2015-08-23,,
51033,51033,51033,51033,INCIDENTE GRAVE,CORRENTINA,BA,SNTY,30/04/2014,11:30:00,SIM,FINALIZADA,IG-088/CENIPA/2014,SIM,2015-02-09,,
51458,51458,51458,51458,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,30/04/2014,10:11:00,***,FINALIZADA,***,NÃO,NULL,,
51443,51443,51443,51443,INCIDENTE GRAVE,ITANHAÉM,SP,SDIM,01/05/2014,14:42:00,SIM,FINALIZADA,IG-089/CENIPA/2014,SIM,2019-03-16,,
51010,51010,51010,51010,ACIDENTE,LUZIÂNIA,GO,SWUZ,02/05/2014,19:00:00,SIM,FINALIZADA,A-090/CENIPA/2014,SIM,2019-01-29,,
